#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D8BE
#Date Time: 2024-05-13 11:14:20.526
#Sample rate: 7727.98Hz
#Samples: 8000
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 3 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 600 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 700 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Custom
#Type: Custom1
#Frequency: 200 mHz
#Period: 5 s
#Amplitude: 500 mV
#Offset: 1.65 V
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.5175999999999999,1.653468643476744,2.106847001535765
-0.5174706,1.657155164558575,2.092152202439685
-0.5173411999999999,1.653468643476742,2.084804802891644
-0.5172118,1.653468643476742,2.092152202439685
-0.5170824000000001,1.653468643476742,2.092152202439685
-0.516953,1.653468643476742,2.092152202439685
-0.5168236,1.653468643476742,2.106847001535765
-0.5166942,1.653468643476742,2.106847001535772
-0.5165648,1.653468643476742,2.110520701309792
-0.5164354,1.653468643476742,2.110520701309794
-0.516306,1.653468643476742,2.114194401083813
-0.5161766,1.653468643476742,2.106847001535772
-0.5160472,1.653468643476742,2.084804802891651
-0.5159178,1.653468643476742,2.092152202439685
-0.5157884,1.653468643476742,2.092152202439685
-0.515659,1.380666083421049,2.444827380745775
-0.5155296,1.380666083421049,2.470543279163915
-0.5154002,1.380666083421049,2.470543279163927
-0.5152708,1.380666083421049,2.239100193400555
-0.5151414,1.380666083421049,2.106847001535792
-0.515012,1.380666083421049,2.150931398824033
-0.5148826,1.701393417540632,2.272163491366813
-0.5147532,1.815675571077424,2.408090383005557
-0.5146238,1.815675571077424,2.367679685491321
-0.5144944,1.815675571077424,2.375027085039361
-0.514365,1.815675571077424,2.573406872836605
-0.5142356,1.815675571077424,2.724028563571429
-0.5141062,1.815675571077424,2.547690974418259
-0.5139768,1.815675571077424,2.272163491366751
-0.5138474,1.815675571077452,2.139910299501772
-0.513718,1.878346429468597,1.710087425941421
-0.5135886,2.014747709496443,1.32067524989511
-0.5134592,2.014747709496443,1.31332785034707
-0.5133297999999999,2.011061188414611,1.250874954188741
-0.5132004,2.014747709496443,1.342717448539244
-0.5130710000000001,2.014747709496443,1.317001550121103
-0.5129416,2.014747709496443,1.328022649443157
-0.5128122000000001,2.014747709496443,1.383128146053458
-0.5126828,2.014747709496443,1.265569753284786
-0.5125534,2.014747709496443,1.265569753284786
-0.512424,1.25163784555687,1.640287130235007
-0.5122946,1.170534381756565,2.070110003795358
-0.5121652,1.170534381756529,2.466869579389905
-0.5120358,1.170534381756529,2.632186069220809
-0.5119064,1.170534381756529,2.584427972158601
-0.511777,1.170534381756529,2.5293224755483
-0.5116476,1.170534381756529,2.584427972158601
-0.5115182,1.170534381756529,2.639533468768903
-0.5113888,1.170534381756529,2.676270466509146
-0.5112594,1.362233478011793,2.628512369446885
-0.51113,1.557619095349066,2.422785182101644
-0.5110006,1.657155164558575,2.485238078260014
-0.5108712,1.557619095349066,2.319921588429093
-0.5107418,1.557619095349066,2.448501080519796
-0.5106124,1.557619095349066,2.52564877577424
-0.510483,1.557619095349066,2.496259177582079
-0.5103536,1.557619095349066,2.551364674192486
-0.5102242,1.557619095349066,2.727702263345451
-0.5100948,1.564992137512775,2.793828859277771
-0.5099654,1.657155164558575,2.635859768994906
-0.509836,1.657155164558575,2.452174780293651
-0.5097066,1.657155164558575,2.084804802891641
-0.5095772,1.657155164558575,1.625592331138788
-0.5094478,1.657155164558575,1.3353700489912
-0.5093183999999999,1.660841685640409,1.287611951928919
-0.509189,1.660841685640409,1.291285651702939
-0.5090596000000001,1.657155164558577,1.33537004899118
-0.5089302,1.657155164558575,1.309654150573048
-0.5088008000000001,1.734572107277048,1.335370048991188
-0.5086714,1.775123839177253,1.353738547861309
-0.508542,1.775123839177253,1.38312814605347
-0.5084126,1.775123839177253,1.519055037692289
-0.5082832,1.775123839177253,1.871730215998218
-0.5081538,1.775123839177253,2.308900489106969
-0.5080244,1.775123839177253,2.657901967638879
-0.507895,1.775123839177253,2.782807759955777
-0.5077656,1.775123839177253,2.735049662893516
-0.5076362,1.668214727804076,2.713007464249364
-0.5075068,1.336427830439195,2.771786660633685
-0.5073774,1.340114351520878,2.837913256566104
-0.507248,1.340114351520878,2.940776850238667
-0.5071186,1.340114351520878,2.8709765545323
-0.5069892,1.340114351520878,2.713007464249364
-0.5068598,1.336427830439046,2.588101671932652
-0.5067304,1.340114351520878,2.650554568090993
-0.506601,1.340114351520878,2.753418161763625
-0.5064716,1.340114351520878,2.801176258825886
-0.5063422,1.413844773157561,2.790155159503851
-0.5062128,1.43227737856672,2.856281755436213
-0.5060834,1.43227737856672,3.054661543233425
-0.505954,1.43227737856672,3.135482938261867
-0.5058246,1.43227737856672,2.951797949560678
-0.5056952,1.43227737856672,2.731375963119473
-0.5055658,1.43227737856672,2.389721884135272
-0.5054364,1.43227737856672,2.003983407863162
-0.505307,1.432277378566821,1.739477024133575
-0.5051776,1.653468643476742,1.695392626845334
-0.5050481999999999,1.966822935432605,1.691718927071318
-0.5049188,1.966822935432605,1.706413726167399
-0.5047894000000001,1.966822935432605,1.305980450799208
-0.50466,1.966822935432605,1.114948062549894
-0.5045306000000001,1.966822935432605,1.114948062549894
-0.5044012,1.966822935432605,1.184748358256308
-0.5042718,1.966822935432605,1.361085947409272
-0.5041424,1.966822935432605,1.68804522729729
